date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:51:27	89521/89521	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260fe0cc1-15db1%22	https://oscwebdesign.biz/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/wp-includes/js/jquery/jquery.minaf6c.js	(from https://oscwebdesign.biz/)
12:51:27	11224/11224	---MCZ	200	added ('OK')	application/javascript	etag:W/%225fd058ab-2bd8%22	https://oscwebdesign.biz/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://oscwebdesign.biz/)
12:51:27	11801/11801	---MCZ	200	added ('OK')	application/javascript	etag:W/%226246177b-2e19%22	https://oscwebdesign.biz/wp-content/plugins/google-analytics-for-wordpress/assets/js/frontend-gtag.min.js?ver=8.5.0	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/wp-content/plugins/google-analytics-for-wordpress/assets/js/frontend-gtag.min9749.js	(from https://oscwebdesign.biz/)
12:51:28	58072/58072	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2025%20Jan%202021%2022:04:08%20GMT	https://stackpath.bootstrapcdn.com/bootstrap/4.3.1/js/bootstrap.min.js?ver=1	C:/My%20Web%20Sites/webdesign/stackpath.bootstrapcdn.com/bootstrap/4.3.1/js/bootstrap.min68b3.js	(from https://oscwebdesign.biz/)
12:51:28	11024/11024	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2013%20Jun%202022%2011:51:28%20GMT	https://kit.fontawesome.com/93b31fb300.js?ver=1	C:/My%20Web%20Sites/webdesign/kit.fontawesome.com/93b31fb30068b3.js	(from https://oscwebdesign.biz/)
12:51:28	43881/43881	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d92f3c5-ab69%22	https://oscwebdesign.biz/wp-content/themes/oscwebdesign/js/slick.min.js?ver=1	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/wp-content/themes/oscwebdesign/js/slick.min68b3.js	(from https://oscwebdesign.biz/)
12:51:32	1299/1299	---MCZ	200	added ('OK')	application/json	date:Mon,%2013%20Jun%202022%2011:51:30%20GMT	https://oscwebdesign.biz/wp-json/wp/v2/pages/11	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/wp-json/wp/v2/pages/11.json	(from https://oscwebdesign.biz/)
12:51:32	1135238/1135238	---MCZ	200	added ('OK')	application/json	date:Mon,%2013%20Jun%202022%2011:51:30%20GMT	https://oscwebdesign.biz/wp-json/	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/wp-json/index.html	(from https://oscwebdesign.biz/)
12:51:33	7852/7852	---MC-	520	error ('Unknown%20error')	text/html	date:Mon,%2013%20Jun%202022%2011:51:33%20GMT	https://oscwebdesign.biz/xmlrpc.php?rsd	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/xmlrpc.1f0db0.delayed	(from https://oscwebdesign.biz/)
12:51:33	4978/4978	---MCZ	403	error ('Forbidden')	text/html	date:Mon,%2013%20Jun%202022%2011:51:33%20GMT	https://oscwebdesign.biz/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/wp-includes/wlwmanifest.xml	(from https://oscwebdesign.biz/)
